Title,Journal,Year,Volume,Issue,DOI
Conglomerate investment under various capital market conditions,JOURNAL OF BANKING & FINANCE,2010,34,1,10.1016/j.jbankfin.2009.07.006
Conglomerates and Industry Distress,REVIEW OF FINANCIAL STUDIES,2011,24,11,10.1093/rfs/hhr060
Conglomeration versus strategic focus: Evidence from the insurance industry,JOURNAL OF FINANCIAL INTERMEDIATION,2000,9,4,10.1006/jfin.2000.0295
Consensus in Diverse Corporate Boards,REVIEW OF FINANCIAL STUDIES,2009,22,2,10.1093/rfs/hhn052
Consolidation and bank branching patterns,JOURNAL OF BANKING & FINANCE,1999,23,2-4,10.1016/S0378-4266(98)00094-6
Consolidation and efficiency in the financial sector: A review of the international evidence,JOURNAL OF BANKING & FINANCE,2004,28,10,10.1016/j.jbankfin.2003.10.013
Consolidation and efficiency in the US life insurance industry,JOURNAL OF BANKING & FINANCE,1999,23,2-4,10.1016/S0378-4266(98)00089-2
Consolidation and universal banking,JOURNAL OF BANKING & FINANCE,1999,23,2-4,10.1016/S0378-4266(98)00103-4
Consolidation and value creation in the insurance industry: The role of governance,JOURNAL OF BANKING & FINANCE,2008,32,1,10.1016/j.jbankfin.2007.09.004
Consolidation in banking and financial stability in Europe: Empirical evidence,JOURNAL OF BANKING & FINANCE,2009,33,7,10.1016/j.jbankfin.2009.01.006
Consumer confidence and asset prices: Some empirical evidence,REVIEW OF FINANCIAL STUDIES,2006,19,4,10.1093/rfs/hhj038
Consumer credit scoring: Do situational circumstances matter?,JOURNAL OF BANKING & FINANCE,2004,28,4,10.1016/j.jbankfin.2003.10.009
Consumer credit-risk models via machine-learning algorithms,JOURNAL OF BANKING & FINANCE,2010,34,11,10.1016/j.jbankfin.2010.06.001
Consumer expectations and short-horizon return predictability,JOURNAL OF BANKING & FINANCE,2007,31,10,10.1016/j.jbankfin.2006.11.017
"Consumers' use of debit cards: Patterns, preferences, and price response",JOURNAL OF MONEY CREDIT AND BANKING,2008,40,1,10.1111/j.1538-4616.2008.00107.x
Consumption and portfolio choice over the life cycle,REVIEW OF FINANCIAL STUDIES,2005,18,2,10.1093/rfs/hhi017
Consumption habit and international stock returns,JOURNAL OF BANKING & FINANCE,2005,29,3,10.1016/j.jbankfin.2004.05.020
Consumption smoothing channels in open economies,JOURNAL OF BANKING & FINANCE,2009,33,12,10.1016/j.jbankfin.2009.06.011
Consumption-based CAPM models: International evidence,JOURNAL OF BANKING & FINANCE,2011,35,8,10.1016/j.jbankfin.2011.01.008
"Consumption, aggregate wealth, and expected stock returns",JOURNAL OF FINANCE,2001,56,3,10.1111/0022-1082.00347
"Consumption, dividends, and the cross section of equity returns",JOURNAL OF FINANCE,2005,60,4,10.1111/j.1540-6261.2005.00776.x
Contagion and efficiency in gross and net interbank payment systems,JOURNAL OF FINANCIAL INTERMEDIATION,1998,7,1,10.1006/jfin.1998.0230
Contagion as a domino effect in global stock markets,JOURNAL OF BANKING & FINANCE,2009,33,11,10.1016/j.jbankfin.2009.05.008
Contagion as a wealth effect,JOURNAL OF FINANCE,2001,56,4,10.1111/0022-1082.00373
Contagion risk in the Australian banking and property sectors,JOURNAL OF BANKING & FINANCE,2011,35,3,10.1016/j.jbankfin.2010.05.012
Contagious speculation and a cure for cancer: A nonevent that made stock prices soar,JOURNAL OF FINANCE,2001,56,1,10.1111/0022-1082.00330
Continuous trading or call auctions: Revealed preferences of investors at the Tel Aviv Stock Exchange,JOURNAL OF FINANCE,2002,57,1,10.1111/1540-6261.00431
Continuous-time methods in finance: A review and an assessment,JOURNAL OF FINANCE,2000,55,4,10.1111/0022-1082.00261
Contracting costs and the window of opportunity for straight debt issues,JOURNAL OF BANKING & FINANCE,2007,31,3,10.1016/j.jbankfin.2006.06.013
Contracting in the investment management industry: evidence from mutual funds,JOURNAL OF FINANCIAL ECONOMICS,2002,63,1,10.1016/S0304-405X(01)00090-3
Contractors as stakeholders: Reconciling stakeholder theory with the nexus-of-contracts firm,JOURNAL OF BANKING & FINANCE,2002,26,9,10.1016/S0378-4266(02)00194-2
Contracts and exits in venture capital finance,REVIEW OF FINANCIAL STUDIES,2008,21,5,10.1093/rfs/hhn072
Control as a motivation for underpricing: a comparison of dual and single-class IPOs,JOURNAL OF FINANCIAL ECONOMICS,2003,69,1,10.1016/S0304-405X(03)00109-0
Control benefits and CEO discipline in automatic bankruptcy auctions,JOURNAL OF FINANCIAL ECONOMICS,2003,69,1,10.1016/S0304-405X(03)00126-0
Control of Corporate Decisions: Shareholders vs. Management,REVIEW OF FINANCIAL STUDIES,2010,23,11,10.1093/rfs/hhq081
Control Rights and Capital Structure: An Empirical Investigation,JOURNAL OF FINANCE,2009,64,4,10.1111/j.1540-6261.2009.01476.x
Control-ownership wedge and investment sensitivity to stock price,JOURNAL OF BANKING & FINANCE,2011,35,11,10.1016/j.jbankfin.2011.03.017
"Control/ownership structure, creditor rights protection, and the cost of debt financing: International evidence",JOURNAL OF BANKING & FINANCE,2010,34,10,10.1016/j.jbankfin.2010.04.006
Controlling for Fixed-Income Exposure in Portfolio Evaluation: Evidence from Hybrid Mutual Funds,REVIEW OF FINANCIAL STUDIES,2009,22,2,10.1093/rfs/hhm087
Controlling stockholders and the disciplinary role of corporate payout policy: a study of the Times Mirror Company,JOURNAL OF FINANCIAL ECONOMICS,2000,56,2,10.1016/S0304-405X(00)00039-8
Controlling-minority shareholder incentive conflicts and directors' and officers' liability insurance: Evidence from China,JOURNAL OF BANKING & FINANCE,2008,32,12,10.1016/j.jbankfin.2008.05.015
Convergence and risk-return linkages across financial service firms,JOURNAL OF BANKING & FINANCE,2007,31,4,10.1016/j.jbankfin.2006.10.006
Convergence to market efficiency of top gainers,JOURNAL OF BANKING & FINANCE,2010,34,9,10.1016/j.jbankfin.2010.02.006
Convergence trading with wealth effects: an amplification mechanism in financial markets,JOURNAL OF FINANCIAL ECONOMICS,2001,62,2,10.1016/S0304-405X(01)00078-2
Convergent synergies in the global market for corporate control,JOURNAL OF BANKING & FINANCE,2011,35,9,10.1016/j.jbankfin.2011.02.008
"Convertible bond arbitrage, liquidity externalities, and stock prices",JOURNAL OF FINANCIAL ECONOMICS,2009,91,2,10.1016/j.jfineco.2008.02.008
Convertible Bond Arbitrageurs as Suppliers of Capital,REVIEW OF FINANCIAL STUDIES,2010,23,6,10.1093/rfs/hhq003
Convertible bond calls: resolution of the information content puzzle,JOURNAL OF FINANCIAL INTERMEDIATION,2003,12,3,10.1016/S1042-9573(03)00042-1
Convertible bond design and capital investment: The role of call provisions,JOURNAL OF FINANCE,2004,59,1,10.1111/j.1540-6261.2004.00636.x
Convertible calls and corporate taxes under asymmetric information,JOURNAL OF BANKING & FINANCE,1998,22,1,10.1016/S0378-4266(97)00038-1
Convertible securities and venture capital finance,JOURNAL OF FINANCE,2003,58,3,10.1111/1540-6261.00561
Coordination of expectations in asset pricing experiments,REVIEW OF FINANCIAL STUDIES,2005,18,3,10.1093/rfs/hhi003
Corporate asset purchases and sales: Theory and evidence,JOURNAL OF FINANCIAL ECONOMICS,2008,87,2,10.1016/j.jfineco.2007.02.005
"Corporate board composition, protocols, and voting behavior: Experimental evidence",JOURNAL OF FINANCE,2003,58,5,10.1111/1540-6261.00595
Corporate bond credit spreads and forecast dispersion,JOURNAL OF BANKING & FINANCE,2010,34,10,10.1016/j.jbankfin.2010.02.019
Corporate bond default risk: A 150-year perspective,JOURNAL OF FINANCIAL ECONOMICS,2011,102,2,10.1016/j.jfineco.2011.01.011
Corporate bond market transaction costs and transparency,JOURNAL OF FINANCE,2007,62,3,10.1111/j.1540-6261.2007.01240.x
Corporate bond trading costs: a peek behind the curtain,JOURNAL OF FINANCE,2001,56,2,10.1111/0022-1082.00341
Corporate bond valuation and hedging with stochastic interest rates and endogenous bankruptcy,REVIEW OF FINANCIAL STUDIES,2002,15,5,10.1093/rfs/15.5.1355
Corporate capital structure and the characteristics of suppliers and customers,JOURNAL OF FINANCIAL ECONOMICS,2007,83,2,10.1016/j.jfineco.2005.12.007
Corporate cash holdings and CEO compensation incentives,JOURNAL OF FINANCIAL ECONOMICS,2011,102,1,10.1016/j.jfineco.2011.05.008
Corporate cash holdings: An empirical investigation of UK companies,JOURNAL OF BANKING & FINANCE,2004,28,9,10.1016/j.jbankfin.2003.08.003
Corporate cash reserves and acquisitions,JOURNAL OF FINANCE,1999,54,6,10.1111/0022-1082.00179
"Corporate control, bank risk taking, and the health of the banking industry",JOURNAL OF BANKING & FINANCE,2000,24,8,10.1016/S0378-4266(99)00088-6
Corporate credit risk modeling and the macroeconomy,JOURNAL OF BANKING & FINANCE,2007,31,3,10.1016/j.jbankfin.2006.06.012
Corporate derivatives use and the cost of equity,JOURNAL OF BANKING & FINANCE,2011,35,6,10.1016/j.jbankfin.2010.10.033
Corporate diversification and credit constraints: Real effects across the business cycle,REVIEW OF FINANCIAL STUDIES,2006,19,4,10.1093/rfs/hhj028
Corporate diversification: What gets discounted?,JOURNAL OF FINANCE,2002,57,5,10.1111/0022-1082.00492
Corporate earnings and the equity premium,JOURNAL OF FINANCIAL ECONOMICS,2004,74,3,10.1016/j.jfineco.2003.12.001
Corporate equity ownership and the governance of product market relationships,JOURNAL OF FINANCE,2006,61,3,10.1111/j.1540-6261.2006.00871.x
"Corporate equity ownership, strategic alliances, and product market relationships",JOURNAL OF FINANCE,2000,55,6,10.1111/0022-1082.00307
Corporate finance and the monetary transmission mechanism,REVIEW OF FINANCIAL STUDIES,2006,19,3,10.1093/rfs/hhl002
Corporate financial policy and the value of cash,JOURNAL OF FINANCE,2006,61,4,10.1111/j.1540-6261.2006.00894.x
Corporate financing decisions when investors take the path of least resistance,JOURNAL OF FINANCIAL ECONOMICS,2007,84,2,10.1016/j.jfineco.2006.03.005
"Corporate financing decisions, managerial market timing, and real investment",JOURNAL OF FINANCIAL ECONOMICS,2011,101,3,10.1016/j.jfineco.2011.05.001
Corporate financing: An artificial agent-based analysis,JOURNAL OF FINANCE,2003,58,3,10.1111/1540-6261.00554
Corporate focus and value creation evidence from spinoffs,JOURNAL OF FINANCIAL ECONOMICS,1997,45,2,10.1016/S0304-405X(97)00018-4
Corporate Fraud and Business Conditions: Evidence from IPOs,JOURNAL OF FINANCE,2010,65,6,10.1111/j.1540-6261.2010.01615.x
Corporate governance and acquirer returns,JOURNAL OF FINANCE,2007,62,4,10.1111/j.1540-6261.2007.01259.x
"Corporate governance and bank performance: A joint analysis of the static, selection, and dynamic effects of domestic, foreign, and state ownership",JOURNAL OF BANKING & FINANCE,2005,29,8-9,10.1016/j.jbankfin.2005.03.013
Corporate governance and board effectiveness,JOURNAL OF BANKING & FINANCE,1998,22,4,10.1016/S0378-4266(98)00005-3
Corporate governance and equity prices: Evidence from the Czech and Slovak Republics,JOURNAL OF FINANCE,1997,52,4,10.1111/j.1540-6261.1997.tb01124.x
Corporate governance and firm cash holdings in the US,JOURNAL OF FINANCIAL ECONOMICS,2008,87,3,10.1016/j.jfineco.2007.04.002
Corporate governance and firm profitability: evidence from Korea before the economic crisis,JOURNAL OF FINANCIAL ECONOMICS,2003,68,2,10.1016/S0304-405X(03)00068-0
Corporate governance and firm value: evidence from the Korean financial crisis,JOURNAL OF FINANCIAL ECONOMICS,2004,71,2,10.1016/S0304-405X(03)00167-3
Corporate governance and firm value: The impact of the 2002 governance rules,JOURNAL OF FINANCE,2007,62,4,10.1111/j.1540-6261.2007.01257.x
Corporate governance and manager turnover: An unusual social experiment,JOURNAL OF BANKING & FINANCE,2005,29,6,10.1016/j.jbankfin.2004.05.038
Corporate governance and pay-for-performance: The impact of earnings management,JOURNAL OF FINANCIAL ECONOMICS,2008,87,2,10.1016/j.jfineco.2007.03.003
Corporate governance and regulation: Can there be too much of a good thing?,JOURNAL OF FINANCIAL INTERMEDIATION,2010,19,4,10.1016/j.jfi.2009.10.001
Corporate governance and risk-taking,JOURNAL OF FINANCE,2008,63,4,10.1111/j.1540-6261.2008.01372.x
Corporate governance and the value of cash holdings,JOURNAL OF FINANCIAL ECONOMICS,2007,83,3,10.1016/j.jfineco.2005.12.006
Corporate governance in banking: The role of the board of directors,JOURNAL OF BANKING & FINANCE,2008,32,12,10.1016/j.jbankfin.2008.05.008
Corporate governance in the Asian financial crisis,JOURNAL OF FINANCIAL ECONOMICS,2000,58,1-2,10.1016/S0304-405X(00)00069-6
Corporate governance in the banking and financial services industries,JOURNAL OF FINANCIAL INTERMEDIATION,2004,13,1,10.1016/j.jfi.2003.06.004
Corporate governance norms and practices,JOURNAL OF FINANCIAL INTERMEDIATION,2009,18,3,10.1016/j.jfi.2008.10.001
Corporate Governance Propagation through Overlapping Directors,REVIEW OF FINANCIAL STUDIES,2011,24,7,10.1093/rfs/hhr034
Corporate governance proposals and shareholder activism: the role of institutional investors,JOURNAL OF FINANCIAL ECONOMICS,2000,57,2,10.1016/S0304-405X(00)00058-1
Corporate governance quality: Trends and real effects,JOURNAL OF FINANCIAL INTERMEDIATION,2008,17,2,10.1016/j.jfi.2007.10.002
Corporate Governance Transfer and Synergistic Gains from Mergers and Acquisitions,REVIEW OF FINANCIAL STUDIES,2009,22,2,10.1093/rfs/hhn018
Corporate governance when founders are directors,JOURNAL OF FINANCIAL ECONOMICS,2011,102,2,10.1016/j.jfineco.2010.11.006
"Corporate governance, chief executive officer compensation, and firm performance",JOURNAL OF FINANCIAL ECONOMICS,1999,51,3,10.1016/S0304-405X(98)00058-0
"Corporate governance, dividend payout policy, and the interrelation between dividends, R&D, and capital investment",JOURNAL OF BANKING & FINANCE,2003,27,7,10.1016/S0378-4266(02)00258-3
"Corporate governance, idiosyncratic risk, and information flow",JOURNAL OF FINANCE,2007,62,2,10.1111/j.1540-6261.2007.01228.x
"Corporate governance, incentives, and industry consolidations",REVIEW OF FINANCIAL STUDIES,2005,18,1,10.1093/rfs/hhh009
"Corporate Governance, Product Market Competition, and Equity Prices",JOURNAL OF FINANCE,2011,66,2,10.1111/j.1540-6261.2010.01642.x
"Corporate governance, shareholder rights and firm diversification: An empirical analysis",JOURNAL OF BANKING & FINANCE,2006,30,3,10.1016/j.jbankfin.2005.08.005
"Corporate groups, dual-class shares and the value of voting rights",JOURNAL OF BANKING & FINANCE,1998,22,9,10.1016/S0378-4266(98)00051-X
Corporate investment and asset price dynamics: Implications for SEO event studies and long-run performance,JOURNAL OF FINANCE,2006,61,3,10.1111/j.1540-6261.2006.00865.x
Corporate investment and asset price dynamics: Implications for the cross-section of returns,JOURNAL OF FINANCE,2004,59,6,10.1111/j.1540-6261.2004.00709.x
Corporate investment and financing under asymmetric information,JOURNAL OF FINANCIAL ECONOMICS,2011,99,2,10.1016/j.jfineco.2010.09.003
Corporate investment with financial constraints: Sensitivity of investment to funds from voluntary asset sales,JOURNAL OF MONEY CREDIT AND BANKING,2006,38,2,10.1353/mcb.2006.0034
Corporate leverage and currency crises,JOURNAL OF FINANCIAL ECONOMICS,2002,63,2,10.1016/S0304-405X(01)00097-6
Corporate life cycle and M&A activity,JOURNAL OF BANKING & FINANCE,2010,34,2,10.1016/j.jbankfin.2009.08.003
"Corporate liquidity, investment and financial constraints: Implications from a multi-period model",JOURNAL OF FINANCIAL INTERMEDIATION,2007,16,2,10.1016/j.jfi.2006.09.002
Corporate misreporting and bank loan contracting,JOURNAL OF FINANCIAL ECONOMICS,2008,89,1,10.1016/j.jfineco.2007.08.005
Corporate ownership around the world,JOURNAL OF FINANCE,1999,54,2,10.1111/0022-1082.00115
Corporate payout policy and managerial stock incentives,JOURNAL OF FINANCIAL ECONOMICS,2001,60,1,10.1016/S0304-405X(01)00039-3
Corporate policies restricting trading by insiders,JOURNAL OF FINANCIAL ECONOMICS,2000,57,2,10.1016/S0304-405X(00)00055-6
Corporate Political Contributions and Stock Returns,JOURNAL OF FINANCE,2010,65,2,10.1111/j.1540-6261.2009.01548.x
Corporate Real Estate Holdings and the Cross-Section of Stock Returns,REVIEW OF FINANCIAL STUDIES,2010,23,6,10.1093/rfs/hhq006
Corporate reorganizations and non-cash auctions,JOURNAL OF FINANCE,2000,55,4,10.1111/0022-1082.00269
Corporate restructuring during performance declines in Japan,JOURNAL OF FINANCIAL ECONOMICS,1997,46,1,10.1016/S0304-405X(97)00024-X
Corporate restructuring in Japan: Who monitors the monitor?,JOURNAL OF BANKING & FINANCE,2008,32,12,10.1016/j.jbankfin.2008.05.014
Corporate risk management: evidence from product liability,JOURNAL OF FINANCIAL INTERMEDIATION,2005,14,2,10.1016/j.jfi.2004.04.001
Corporate tax avoidance and high-powered incentives,JOURNAL OF FINANCIAL ECONOMICS,2006,79,1,10.1016/j.jfineco.2005.02.002
Corporate tax avoidance and stock price crash risk: Firm-level analysis,JOURNAL OF FINANCIAL ECONOMICS,2011,100,3,10.1016/j.jfineco.2010.07.007
"Corporate tax, capital structure, and the accessibility of bank loans: Evidence from China",JOURNAL OF BANKING & FINANCE,2009,33,1,10.1016/j.jbankfin.2006.10.030
Corporate trade credit and inventories: New evidence of a trade-off from accounts payable and receivable,JOURNAL OF BANKING & FINANCE,2009,33,2,10.1016/j.jbankfin.2008.07.019
Corporate use of derivatives and excess value of diversification,JOURNAL OF BANKING & FINANCE,2007,31,3,10.1016/j.jbankfin.2006.07.005
Corporate use of interest rate swaps: Theory and evidence,JOURNAL OF BANKING & FINANCE,2003,27,8,10.1016/S0378-4266(02)00275-3
Corporate valuation and the resolution of bank insolvency in East Asia,JOURNAL OF BANKING & FINANCE,2005,29,8-9,10.1016/j.jbankfin.2005.03.010
"Corporate valuation around the world: The effects of governance, growth, and openness",JOURNAL OF BANKING & FINANCE,2007,31,1,10.1016/j.jbankfin.2006.02.002
Corporate venture capital and the returns to acquiring portfolio companies,JOURNAL OF FINANCIAL ECONOMICS,2010,98,3,10.1016/j.jfineco.2010.07.003
Corporate yield spreads and bond liquidity,JOURNAL OF FINANCE,2007,62,1,10.1111/j.1540-6261.2007.01203.x
Corporate yield spreads: Default risk or liquidity? New evidence from the credit default swap market,JOURNAL OF FINANCE,2005,60,5,10.1111/j.1540-6261.2005.00797.x
Correlated default risks and bank regulations,JOURNAL OF MONEY CREDIT AND BANKING,2006,38,2,10.1353/mcb.2006.0028
Correlated default with incomplete information,JOURNAL OF BANKING & FINANCE,2004,28,7,10.1016/S0378-4266(03)00129-8
Correlated trading and location,JOURNAL OF FINANCE,2004,59,5,10.1111/j.1540-6261.2004.00694.x
Correlated trading and returns,JOURNAL OF FINANCE,2008,63,2,10.1111/j.1540-6261.2008.01334.x
Correlation expansions for CDO pricing,JOURNAL OF BANKING & FINANCE,2007,31,5,10.1016/j.jbankfin.2006.10.018
Correlation in corporate defaults: Contagion or conditional independence?,JOURNAL OF FINANCIAL INTERMEDIATION,2010,19,3,10.1016/j.jfi.2010.03.002
Correlation Risk and Optimal Portfolio Choice,JOURNAL OF FINANCE,2010,65,1,10.1111/j.1540-6261.2009.01533.x
Corruption in bank lending to firms: Cross-country micro evidence on the beneficial role of competition and information sharing,JOURNAL OF FINANCIAL ECONOMICS,2009,91,3,10.1016/j.jfineco.2008.04.003
"Corruption, Political Connections, and Municipal Finance",REVIEW OF FINANCIAL STUDIES,2009,22,7,10.1093/rfs/hhp010
Cosmetic mergers: The effect of style investing on the market for corporate control,JOURNAL OF FINANCIAL ECONOMICS,2009,93,3,10.1016/j.jfineco.2008.09.004
Cost and profit efficiency of financial conglomerates and universal banks in Europe,JOURNAL OF MONEY CREDIT AND BANKING,2002,34,1,10.1353/mcb.2002.0036
Cost efficiency in the European securities settlement and depository industry,JOURNAL OF BANKING & FINANCE,2007,31,10,10.1016/j.jbankfin.2007.01.007
Cost efficiency of banks in transition: Evidence from 289 banks in 15 post-communist countries,JOURNAL OF BANKING & FINANCE,2005,29,1,10.1016/j.jbankfin.2004.06.016
Cost of capital effects and changes in growth expectations around US cross-listings,JOURNAL OF FINANCIAL ECONOMICS,2009,93,3,10.1016/j.jfineco.2008.09.006
Cost of transacting and expected returns in the NASDAQ market,JOURNAL OF FINANCE,1997,52,5,10.1111/j.1540-6261.1997.tb02754.x
"Cost reductions in electronic payments: The roles of consolidation, economies of scale, and technical change",JOURNAL OF BANKING & FINANCE,1999,23,2-4,10.1016/S0378-4266(98)00108-3
Costly arbitrage and idiosyncratic risk: Evidence from short sellers,JOURNAL OF FINANCIAL INTERMEDIATION,2010,19,4,10.1016/j.jfi.2009.06.003
"Costly external finance, corporate investment, and the subprime mortgage credit crisis",JOURNAL OF FINANCIAL ECONOMICS,2010,97,3,10.1016/j.jfineco.2009.12.008
Costly search and mutual fund flows,JOURNAL OF FINANCE,1998,53,5,10.1111/0022-1082.00066
Costs of banking system instability: Some empirical evidence,JOURNAL OF BANKING & FINANCE,2002,26,5,10.1016/S0378-4266(01)00268-0
Costs of broad-based stock option plans,JOURNAL OF FINANCIAL INTERMEDIATION,2006,15,4,10.1016/j.jfi.2005.09.003
Costs of equity capital and model mispricing,JOURNAL OF FINANCE,1999,54,1,10.1111/0022-1082.00099
Counter-cyclical substitution between trade credit and bank credit,JOURNAL OF BANKING & FINANCE,2011,35,8,10.1016/j.jbankfin.2010.12.009
Counterfeiting as Private Money in Mechanism Design,JOURNAL OF MONEY CREDIT AND BANKING,2011,43,,10.1111/j.1538-4616.2011.00456.x
Counterparty risk and the pricing of defaultable securities,JOURNAL OF FINANCE,2001,56,5,10.1111/0022-1082.00389
Country-specific sentiment and security prices,JOURNAL OF FINANCIAL ECONOMICS,2011,100,2,10.1016/j.jfineco.2010.10.020
Courts and banks: Effects of judicial enforcement on credit markets,JOURNAL OF MONEY CREDIT AND BANKING,2005,37,2,10.1353/mcb.2005.0021
Covariance complexity and rates of return on assets,JOURNAL OF BANKING & FINANCE,2007,31,11,10.1016/j.jbankfin.2007.04.009
Covered interest arbitrage profits: The role of liquidity and credit risk,JOURNAL OF BANKING & FINANCE,2010,34,5,10.1016/j.jbankfin.2009.11.008
Covered interest rate arbitrage in the interwar period and the Keynes-Einzig conjecture,JOURNAL OF MONEY CREDIT AND BANKING,2002,34,1,10.1353/mcb.2002.0033
Crash risk of the euro in the sovereign debt crisis of 2009-2010,JOURNAL OF BANKING & FINANCE,2011,35,11,10.1016/j.jbankfin.2011.03.020
Creative destruction and firm-specific performance heterogeneity,JOURNAL OF FINANCIAL ECONOMICS,2008,89,1,10.1016/j.jfineco.2007.06.005
Credibility and flexibility with independent monetary policy committees,JOURNAL OF MONEY CREDIT AND BANKING,2006,38,1,10.1353/mcb.2006.0021
Credibility and seigniorage in a common currency area,JOURNAL OF MONEY CREDIT AND BANKING,2002,34,4,10.1353/mcb.2002.0052
"Credibility, reputation, and the Mexican peso crisis",JOURNAL OF MONEY CREDIT AND BANKING,1999,31,1,10.2307/2601140
Credit and Banking in a DSGE Model of the Euro Area,JOURNAL OF MONEY CREDIT AND BANKING,2010,42,6,10.1111/j.1538-4616.2010.00331.x
Credit and the Natural Rate of Interest,JOURNAL OF MONEY CREDIT AND BANKING,2011,43,2-3,10.1111/j.1538-4616.2010.00379.x
"Credit booms, monetary integration and the new neoclassical synthesis",JOURNAL OF BANKING & FINANCE,2008,32,3,10.1016/j.jbankfin.2007.07.005
Credit card debt and default over the life cycle,JOURNAL OF MONEY CREDIT AND BANKING,2008,40,4,10.1111/j.1538-4616.2008.00135.x
Credit card interchange fees,JOURNAL OF BANKING & FINANCE,2010,34,8,10.1016/j.jbankfin.2010.02.026
"Credit channel, trade credit channel, and inventory investment: Evidence from a panel of UK firms",JOURNAL OF BANKING & FINANCE,2006,30,10,10.1016/j.jbankfin.2005.11.002
Credit Contagion from Counterparty Risk,JOURNAL OF FINANCE,2009,64,5,10.1111/j.1540-6261.2009.01494.x
Credit Crunch Caused by Bank Failures and Self-Selection Behavior in Lending Markets,JOURNAL OF MONEY CREDIT AND BANKING,2011,43,1,10.1111/j.1538-4616.2010.00368.x
Credit Default Swaps and the Empty Creditor Problem,REVIEW OF FINANCIAL STUDIES,2011,24,8,10.1093/rfs/hhr002
Credit derivatives and bank credit supply,JOURNAL OF FINANCIAL INTERMEDIATION,2009,18,2,10.1016/j.jfi.2008.08.001
Credit derivatives and loan pricing,JOURNAL OF BANKING & FINANCE,2008,32,12,10.1016/j.jbankfin.2008.05.006
Credit derivatives premium as a new Japan premium,JOURNAL OF MONEY CREDIT AND BANKING,2004,36,5,10.1353/mcb.2004.0074
Credit derivatives with multiple debt issues,JOURNAL OF BANKING & FINANCE,2004,28,5,10.1016/S0378-4266(03)00048-7
"Credit derivatives, capital requirements and opaque OTC markets",JOURNAL OF FINANCIAL INTERMEDIATION,2008,17,4,10.1016/j.jfi.2008.03.001
Credit enhancement through financial engineering: Freeport McMoRan's gold-denominated depositary shares,JOURNAL OF FINANCIAL ECONOMICS,2001,60,2-3,10.1016/S0304-405X(01)00051-4
"Credit Line Usage, Checking Account Activity, and Default Risk of Bank Borrowers",REVIEW OF FINANCIAL STUDIES,2010,23,10,10.1093/rfs/hhq061
Credit lines and credit utilization,JOURNAL OF MONEY CREDIT AND BANKING,2006,38,1,10.1353/mcb.2006.0010
Credit Market Competition and Capital Regulation,REVIEW OF FINANCIAL STUDIES,2011,24,4,10.1093/rfs/hhp089
Credit market imperfections and the heterogeneous response of firms to monetary shocks,JOURNAL OF MONEY CREDIT AND BANKING,1999,31,2,10.2307/2601229
Credit markets and the propagation of monetary policy shocks,JOURNAL OF MONEY CREDIT AND BANKING,2007,39,6,10.1111/j.1538-4616.2007.00073.x
Credit portfolios: What defines risk horizons and risk measurement?,JOURNAL OF BANKING & FINANCE,2007,31,12,10.1016/j.jbankfin.2007.01.022
Credit rating dynamics and Markov mixture models,JOURNAL OF BANKING & FINANCE,2008,32,6,10.1016/j.jbankfin.2007.09.013
Credit ratings and capital structure,JOURNAL OF FINANCE,2006,61,3,10.1111/j.1540-6261.2006.00866.x
Credit ratings and stock liquidity,REVIEW OF FINANCIAL STUDIES,2006,19,1,10.1093/rfs/hhj004
Credit ratings and the BIS capital adequacy reform agenda,JOURNAL OF BANKING & FINANCE,2002,26,5,10.1016/S0378-4266(01)00269-2
Credit ratings as coordination mechanisms,REVIEW OF FINANCIAL STUDIES,2006,19,1,10.1093/rfs/hhj009
Credit Rationing and Credit View: Empirical Evidence from an Ethical Bank in Italy,JOURNAL OF MONEY CREDIT AND BANKING,2011,43,6,10.1111/j.1538-4616.2011.00423.x
"Credit reporting, relationship banking, and loan repayment",JOURNAL OF MONEY CREDIT AND BANKING,2007,39,8,10.1111/j.1538-4616.2007.00092.x
Credit risk and dynamic capital structure choice,JOURNAL OF FINANCIAL INTERMEDIATION,2004,13,2,10.1016/S1042-9573(03)00057-3
Credit risk drivers: Evaluating the contribution of firm level information and of macroeconomic dynamics,JOURNAL OF BANKING & FINANCE,2009,33,2,10.1016/j.jbankfin.2008.08.006
Credit risk in private debt portfolios,JOURNAL OF FINANCE,1998,53,4,10.1111/0022-1082.00056
Credit risk in the leasing industry,JOURNAL OF BANKING & FINANCE,2004,28,4,10.1016/j.jbankfin.2003.10.008
Credit risk measurement: Developments over the last 20 years,JOURNAL OF BANKING & FINANCE,1997,21,11-12,10.1016/S0378-4266(97)00036-8
Credit risk modeling with affine processes,JOURNAL OF BANKING & FINANCE,2005,29,11,10.1016/j.jbankfin.2005.02.006
Credit risk rating systems at large US banks,JOURNAL OF BANKING & FINANCE,2000,24,1-2,10.1016/S0378-4266(99)00056-4
Credit risk transfer activities and systemic risk: How banks became less risky individually but posed greater risks to the financial system at the same time,JOURNAL OF BANKING & FINANCE,2011,35,6,10.1016/j.jbankfin.2010.10.001
Credit risk transfer and bank competition,JOURNAL OF FINANCIAL INTERMEDIATION,2010,19,3,10.1016/j.jfi.2010.03.001
"Credit scoring and the availability, price, and risk of small business credit",JOURNAL OF MONEY CREDIT AND BANKING,2005,37,2,10.1353/mcb.2005.0019
