original affiliation,alias
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF HAWAII AT MANOA,UNIVERSITY OF HAWAII
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF HOUSTON,UNIVERSITY OF HOUSTON
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF ILLINOIS AT CHICAGO,"UNIVERSITY OF ILLINOIS, CHICAGO"
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF IOWA,UNIVERSITY OF IOWA
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF MISSOURI AT ST LOUIS,UNIVERSITY OF MISSOURI
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF MISSOURI-ST LOUIS,UNIVERSITY OF MISSOURI
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF NEBRASKA-LINCOLN,UNIVERSITY OF NEBRASKA
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF NEVADA,UNIVERSITY OF NEVADA
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF NEVADA AT RENO,UNIVERSITY OF NEVADA
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF NEVADA RENO,UNIVERSITY OF NEVADA
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF NEW ORLEANS,UNIVERSITY OF NEW ORLEANS
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF NEW ORLEANS NEW ORLEANS,UNIVERSITY OF NEW ORLEANS
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF NORTH TEXAS,UNIVERSITY OF NORTH TEXAS
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF NORTHERN IOWA,UNIVERSITY OF NORTHERN IOWA
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF NOTRE DAME,UNIVERSITY OF NOTRE DAME
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF RHODE ISLAND,UNIVERSITY OF RHODE ISLAND
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF SOUTH FLORIDA,UNIVERSITY OF SOUTH FLORIDA
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF TEXAS AT ARLINGTON,"UNIVERSITY OF TEXAS, ARLINGTON"
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF TEXAS AT AUSTIN,"UNIVERSITY OF TEXAS, AUSTIN"
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF TEXAS AT EL PASO,"UNIVERSITY OF TEXAS, EL PASO"
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF TEXAS AUSTIN,"UNIVERSITY OF TEXAS, AUSTIN"
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF TEXAS SAN ANTONIO,"UNIVERSITY OF TEXAS, SAN ANTONIO"
COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF TEXAS-PAN AMERICAN,UNIVERSITY OF TEXAS- PAN AMERICAN
COLLEGE OF BUSINESS ADMINISTRATION VALDOSTA STATE UNIVERSITY,VALDOSTA STATE UNIVERSITY
COLLEGE OF BUSINESS ADMINISTRATION WINTHROP UNIVERSITY,WINTHROP UNIVERSITY
COLLEGE OF BUSINESS AND ADMINISTRATION SOUTHERN ILLINOIS UNIVERSITY,SOUTHERN ILLINOIS UNIVERSITY
COLLEGE OF BUSINESS AND ADMINISTRATION UNIVERSITY OF COLORADO,UNIVERSITY OF COLORADO
COLLEGE OF BUSINESS AND ADMINISTRATION UNIVERSITY OF COLORADO AT BOULDER,UNIVERSITY OF COLORADO
COLLEGE OF BUSINESS AND ADMINISTRATION UNIVERSITY OF COLORADO AT COLORADO SPRINGS,UNIVERSITY OF COLORADO
COLLEGE OF BUSINESS AND BEHAVIOR SCIENCE CLEMSON UNIVERSITY,CLEMSON UNIVERSITY
COLLEGE OF BUSINESS AND BEHAVIORAL SCIENCE CLEMSON UNIVERSITY,CLEMSON UNIVERSITY
COLLEGE OF BUSINESS AND BEHAVIORAL SCIENCES CLEMSON UNIVERSITY,CLEMSON UNIVERSITY
COLLEGE OF BUSINESS AND ECONOMICS CALIFORNIA STATE UNIVERSITY,CALIFORNIA STATE UNIVERSITY
COLLEGE OF BUSINESS AND ECONOMICS CALIFORNIA STATE UNIVERSITY AT FULLERTON,"CALIFORNIA STATE UNIVERSITY, FULLERTON"
COLLEGE OF BUSINESS AND ECONOMICS CALIFORNIA STATE UNIVERSITY FULLERTON,"CALIFORNIA STATE UNIVERSITY, FULLERTON"
COLLEGE OF BUSINESS AND ECONOMICS CENTRAL MISSOURI STATE UNIVERSITY,UNIVERSITY OF CENTRAL MISSOURI
COLLEGE OF BUSINESS AND ECONOMICS HANYANG UNIVERSITY,HANYANG UNIVERSITY
COLLEGE OF BUSINESS AND ECONOMICS LEHIGH UNIVERSITY,LEHIGH UNIVERSITY
COLLEGE OF BUSINESS AND ECONOMICS TOWSON UNIVERSITY,TOWSON UNIVERSITY
COLLEGE OF BUSINESS AND ECONOMICS UNIVERSITY OF DELAWARE,UNIVERSITY OF DELAWARE
COLLEGE OF BUSINESS AND ECONOMICS WASHINGTON STATE UNIVERSITY,WASHINGTON STATE UNIVERSITY
COLLEGE OF BUSINESS AND ECONOMICS WEST VIRGINIA UNIVERSITY,WEST VIRGINIA UNIVERSITY
COLLEGE OF BUSINESS AND MANAGEMENT NORTHEASTERN ILLINOIS UNIVERSITY,NORTHEASTERN ILLINOIS UNIVERSITY
COLLEGE OF BUSINESS AND MANAGEMENT UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLAND
COLLEGE OF BUSINESS AND PUBLIC ADMINISTRATION UNIVERSITY OF ARIZONA TUCSON,UNIVERSITY OF ARIZONA
COLLEGE OF BUSINESS AND TECHNOLOGY UNIVERSITY OF TEXAS AT TYLER,"UNIVERSITY OF TEXAS, TYLER"
COLLEGE OF BUSINESS ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY
COLLEGE OF BUSINESS AT ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY
COLLEGE OF BUSINESS AT ARIZONA STATE UNIVERSITY UNIVERSITAT POMPEU FABRA,POMPEU FABRA UNIVERSITY
COLLEGE OF BUSINESS AUBURN UNIVERSITY,AUBURN UNIVERSITY
COLLEGE OF BUSINESS CITY UNIVERSITY OF HONG KONG KOWLOON,CITY UNIVERSITY HONG KONG
COLLEGE OF BUSINESS CITY UNIVERSITY OF HONG KONG KOWLOON HONG KONG,CITY UNIVERSITY HONG KONG
COLLEGE OF BUSINESS CREIGHTON UNIVERSITY,CREIGHTON UNIVERSITY
COLLEGE OF BUSINESS DEPARTMENT OF FINANCE UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
COLLEGE OF BUSINESS DEPARTMENT OF FINANCE UNIVERSITY OF TEXAS SAN ANTONIO,"UNIVERSITY OF TEXAS, SAN ANTONIO"
COLLEGE OF BUSINESS FLORIDA ATLANTIC UNIVERSITY,FLORIDA ATLANTIC UNIVERSITY
COLLEGE OF BUSINESS FLORIDA INSTITUTE OF TECHNOLOGY,FLORIDA INSTITUTE OF TECHNOLOGY
COLLEGE OF BUSINESS FLORIDA STATE UNIVERSITY,FLORIDA STATE UNIVERSITY
COLLEGE OF BUSINESS GEORGIA STATE UNIVERSITY,GEORGIA STATE UNIVERSITY
COLLEGE OF BUSINESS IDAHO STATE UNIVERSITY,OHIO STATE UNIVERSITY
COLLEGE OF BUSINESS ILLINOIS STATE UNIVERSITY,ILLINOIS STATE UNIVERSITY
COLLEGE OF BUSINESS IOWA STATE UNIVERSITY,IOWA STATE UNIVERSITY
COLLEGE OF BUSINESS JAMES MADISON UNIVERSITY,JAMES MADISON UNIVERSITY
COLLEGE OF BUSINESS LOUISIANA TECH UNIVERSITY,LOUISIANA TECHNICAL UNIVERSITY
COLLEGE OF BUSINESS MERCER UNIVERSITY,MERCER UNIVERSITY
COLLEGE OF BUSINESS MONTANA STATE UNIVERSITY,MONTANA STATE UNIVERSITY
COLLEGE OF BUSINESS NORTHEASTERN UNIVERSITY,NORTHEASTERN UNIVERSITY
COLLEGE OF BUSINESS NORTHERN ILLINOIS UNIVERSITY,NORTHERN ILLINOIS UNIVERSITY
COLLEGE OF BUSINESS OHIO STATE UNIVERSITY,OHIO STATE UNIVERSITY
COLLEGE OF BUSINESS OHIO UNIVERSITY,OHIO UNIVERSITY
COLLEGE OF BUSINESS OREGON STATE UNIVERSITY,OREGON STATE UNIVERSITY
COLLEGE OF BUSINESS SAGINAW VALLEY STATE UNIVERSITY,SAGINAW VALLEY STATE UNIVERSITY
COLLEGE OF BUSINESS SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO STATE UNIVERSITY
COLLEGE OF BUSINESS SEOUL NATIONAL UNIVERSITY,SEOUL NATIONAL UNIVERSITY
COLLEGE OF BUSINESS SOUTHERN ILLINOIS UNIVERSITY,SOUTHERN ILLINOIS UNIVERSITY
COLLEGE OF BUSINESS STATE UNIVERSITY OF NEW YORK STONY BROOK,"SUNY, STONY BROOK"
COLLEGE OF BUSINESS STONY BROOK UNIVERSITY,"SUNY, STONY BROOK"
COLLEGE OF BUSINESS SUNY-STONY BROOK,"SUNY, STONY BROOK"
COLLEGE OF BUSINESS THE FLORIDA STATE UNIVERSITY,FLORIDA STATE UNIVERSITY
COLLEGE OF BUSINESS THE UNIVERSITY OF IOWA,UNIVERSITY OF IOWA
COLLEGE OF BUSINESS UNIVERSITY OF CENTRAL FLORIDA,UNIVERSITY OF CENTRAL FLORIDA
COLLEGE OF BUSINESS UNIVERSITY OF CINCINNATI,UNIVERSITY OF CINCINNATI
COLLEGE OF BUSINESS UNIVERSITY OF COLORADO AT DENVER,UNIVERSITY OF COLORADO
COLLEGE OF BUSINESS UNIVERSITY OF DELAWARE,UNIVERSITY OF DELAWARE
COLLEGE OF BUSINESS UNIVERSITY OF ILLINOIS,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
COLLEGE OF BUSINESS UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
COLLEGE OF BUSINESS UNIVERSITY OF ILLINOIS CHAMPAIGN,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
COLLEGE OF BUSINESS UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLAND
COLLEGE OF BUSINESS UNIVERSITY OF MISSOURI,UNIVERSITY OF MISSOURI
COLLEGE OF BUSINESS UNIVERSITY OF MISSOURI COLUMBIA,UNIVERSITY OF MISSOURI
COLLEGE OF BUSINESS UNIVERSITY OF MISSOURI-COLUMBIA,UNIVERSITY OF MISSOURI
COLLEGE OF BUSINESS UNIVERSITY OF NEBRASKA - LINCOLN,UNIVERSITY OF NEBRASKA
COLLEGE OF BUSINESS UNIVERSITY OF NEBRASKA LINCOLN,UNIVERSITY OF NEBRASKA
COLLEGE OF BUSINESS UNIVERSITY OF NEBRASKA-LINCOLN,UNIVERSITY OF NEBRASKA
COLLEGE OF BUSINESS UNIVERSITY OF NEVADA LAS VEGAS,UNIVERSITY OF NEVADA
COLLEGE OF BUSINESS UNIVERSITY OF NORTHERN IOWA,UNIVERSITY OF NORTHERN IOWA
COLLEGE OF BUSINESS UNIVERSITY OF NOTRE DAME,UNIVERSITY OF NOTRE DAME
COLLEGE OF BUSINESS UNIVERSITY OF SOUTH FLORIDA,UNIVERSITY OF SOUTH FLORIDA
COLLEGE OF BUSINESS UNIVERSITY OF SOUTHERN MISSISSIPPI,UNIVERSITY OF SOUTHERN MISSISSIPPI
COLLEGE OF BUSINESS UNIVERSITY OF TEXAS AT ARLINGTON,"UNIVERSITY OF TEXAS, ARLINGTON"
COLLEGE OF BUSINESS UNIVERSITY OF TEXAS AT SAN ANTONIO,"UNIVERSITY OF TEXAS, SAN ANTONIO"
COLLEGE OF BUSINESS UNIVERSITY OF WYOMING,UNIVERSITY OF WYOMING
COLLEGE OF BUSINESS UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY
COLLEGE OF BUSINESS VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
COLLEGE OF BUSINESS WASHINGTON STATE UNIVERSITY,WASHINGTON STATE UNIVERSITY
COLLEGE OF CHARLESTON,COLLEGE OF CHARLESTON
COLLEGE OF COMMERCE AND BUSINESS ADMINISTRATION UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
COLLEGE OF COMMERCE AND BUSINESS ADMINISTRATION UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
COLLEGE OF COMMERCE AND BUSINESS UNIVERSITY OF ILLINOIS,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
COLLEGE OF COMMERCE AND ECONOMICS SULTAN QABOOS UNIVERSITY,SULTAN QABOOS UNIVERSITY
COLLEGE OF COMMERCE AND FINANCE VILLANOVA UNIVERSITY,VILLANOVA UNIVERSITY
COLLEGE OF COMMERCE NATIONAL CHENGCHI UNIVERSITY,NATIONAL CHENGCHI UNIVERSITY
COLLEGE OF COMMERCE NIHON UNIVERSITY,NIHON UNIVERSITY
COLLEGE OF ECONOMICS AND BUSINESS ADMINISTRATION EBERHARD-KARLS-UNIVERSITY TUBINGEN,UNIVERSITY OF TUEBINGEN
COLLEGE OF ECONOMICS AND BUSINESS HANKUK UNIVERSITY OF FOREIGN STUDIES,HANKUK UNIVERSITY FOREIGN STUDIES
COLLEGE OF ECONOMICS AND FINANCE HANYANG UNIVERSITY,HANYANG UNIVERSITY
COLLEGE OF FAMILY HOME AND SOCIAL SCIENCE AT BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY
COLLEGE OF FINANCE FENG CHIA UNIVERSITY,FENG CHIA UNIVERSITY
COLLEGE OF LIBERAL ARTS TEMPLE UNIVERSITY,TEMPLE UNIVERSITY
COLLEGE OF LIBERAL ARTS UNIVERSITY OF CONNECTICUT,UNIVERSITY OF CONNECTICUT
COLLEGE OF MANAGEMENT GEORGIA INSTITUTE OF TECHNOLOGY,GEORGIA INSTITUTE OF TECHNOLOGY
COLLEGE OF MANAGEMENT GEORGIA INSTITUTE OF TECHNOLOGY ATLANTA,GEORGIA INSTITUTE OF TECHNOLOGY
COLLEGE OF MANAGEMENT GEORGIA TECH,GEORGIA INSTITUTE OF TECHNOLOGY
COLLEGE OF MANAGEMENT NATIONAL TAIWAN UNIVERSITY,NATIONAL TAIWAN UNIVERSITY
COLLEGE OF MANAGEMENT NORTH CAROLINA STATE UNIVERSITY,NORTH CAROLINA STATE UNIVERSITY
COLLEGE OF MANAGEMENT YUAN ZE UNIVERSITY,YUAN ZE UNIVERSITY
COLLEGE OF MEXICO,COLLEGE OF MEXICO
COLLEGE OF QUEEN MARY,"QUEEN MARY, UNIVERSITY OF LONDON"
COLLEGE OF THE HOLY CROSS,COLLEGE OF THE HOLY CROSS
COLLEGE OF WILLIAM & MARY,COLLEGE OF WILLIAM AND MARY
COLLEGE OF WILLIAM AND MARY,COLLEGE OF WILLIAM AND MARY
COLLEGE OF WILLIAMAND MARY,COLLEGE OF WILLIAM AND MARY
COLLEGIO CARLO ALBERTO,UNIVERSITY OF TURIN
COLLEGIO CARLO ALBERTO CERP,UNIVERSITY OF TURIN
COLLEGIO CARLO ALBERTO FOUNDATION IN TURIN,UNIVERSITY OF TURIN
COLLEGIO CARLO ALBERTO UNIVERSITA DI TORINO,UNIVERSITY OF TURIN
COLLEGIUM BUDAPEST INSTITUTE FOR ADVANCED STUDY,COLLEGIUM BUDAPEST
COLLEGIUM HELVETICUM,COLLEGIUM HELVETICUM
COLLER INSTITUTE OF PRIVATE EQUITY AT LONDON BUSINESS SCHOOL,LONDON BUSINESS SCHOOL
COLOGNE,UNIVERSITY OF COLOGNE
COLORADO,UNIVERSITY OF COLORADO
COLORADO STATE UNIVERSITY,COLORADO STATE UNIVERSITY
COLORADO STATE UNIVERSITY FINANCE AND REAL ESTATE DEPARTMENT,COLORADO STATE UNIVERSITY
COLORADO-BOULDER,COLORADO STATE UNIVERSITY
COLUMBIA,COLUMBIA UNIVERSITY
COLUMBIA (DEPARTMENT OF STATISTICS),COLUMBIA UNIVERSITY
COLUMBIA BUSINESS SCHOOL,COLUMBIA UNIVERSITY
COLUMBIA BUSINESS SCHOOL COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
COLUMBIA BUSINESS SCHOOL NEW YORK,COLUMBIA UNIVERSITY
COLUMBIA GRADUATE SCHOOL OF BUSINESS,COLUMBIA UNIVERSITY
COLUMBIA GSB,COLUMBIA UNIVERSITY
COLUMBIA LAW,COLUMBIA UNIVERSITY
COLUMBIA LAW SCHOOL,COLUMBIA UNIVERSITY
COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
COLUMBIA UNIVERSITY COLUMBIA BUSINESS SCHOOL,COLUMBIA UNIVERSITY
COLUMBIA UNIVERSITY GRADUATE SCHOOL OF BUSINESS,COLUMBIA UNIVERSITY
COLUMBIA UNIVERSITY GRADUATE SCHOOL OF BUSINESS NEW YORK,COLUMBIA UNIVERSITY
COLUMBIA UNIVERSITY LAW AND CAPITAL MARKETS SEMINAR,COLUMBIA UNIVERSITY
COLUMBIA UNIVERSITY NEW YOR,COLUMBIA UNIVERSITY
COLUMBIA UNIVERSITY NEW YORK,COLUMBIA UNIVERSITY
COLUMBIA UNIVERSITY SCHOOL OF LAW NEW YORK,COLUMBIA UNIVERSITY
COMENIUS UNIVERSITY,COMENIUS UNIVERSITY
COMISION NACIONAL DE ENERGIA SPAIN,COMISION NACIONAL DE ENERGIA SPAIN
COMMERCE TEXAS A & M UNIVERSITY,TEXAS A&M UNIVERSITY
COMMERZBANK AG,COMMERZBANK
COMMODITIES FINANCE CENTRE BIRKBECK UNIVERSITY OF LONDON,UNIVERSITY OF LONDON
COMMODITIES FINANCE CENTRE UNIVERSITY OF LONDON,UNIVERSITY OF LONDON
COMMODITY FUTURES TRADING COMMISSION,COMMODITY FUTURES TRADING COMMISSION
COMPUTERVISION CORPORATION,COMPUTERVISION CORPORATION
CONCORDIA,CONCORDIA UNIVERSITY
CONCORDIA UNIVERSITY,CONCORDIA UNIVERSITY
CONCORDIA UNIVERSITY (MONTREAL),CONCORDIA UNIVERSITY
CONCORDIA UNIVERSITY JOHN MOLSON SCHOOL OF BUSINESS,CONCORDIA UNIVERSITY
CONCORDIA UNIVERSITY MONTREAL CANADA,CONCORDIA UNIVERSITY
CONFERENCE BOARD,THE CONFERENCE BOARD
CONFERENCE BOARD ECONOMICS DEPARTMENT,THE CONFERENCE BOARD
CONGRESSIONAL RESEARCH SERVICE OF THE LIBRARY OF CONGRESS,LIBRARY OF CONGRESS
CONNECTICUT,UNIVERSITY OF CONNECTICUT
CONNECTICUT COLLEGE,CONNECTICUT COLLEGE
CONNOR CLARK AND LUNN INVESTMENT MANAGEMENT LTD,CONNOR CLARK AND LUNN INVESTMENT MANAGEMENT
CONSEILLERE SCIENTIFIQUE BANQUE DE FRANCE DIRECTION DES ENTREPRISES COMPANIES OBSERVATORY (OBSERVATOIRE DES ENTREPRISES),BANQUE DE FRANCE
CONSIGLIO DI BORSA,CONSIGLIO DI BORSA
CONSOB DIVISIONE INTERMEDIARI MILANO,COMMISSIONE NAZIONALE PER LE SOCIETA E LA BORSA
CONSULTANT FOR BUSINESS AND PRODUCT MANAGEMENT SA ATHENS,CONSULTANT
CONTINENTAL BANK CHICAGO,CONTINENTAL BANK CHICAGO
CONVERIUM LTD ZURICH,CONVERIUM LTD ZURICH
COPENHAGEN,UNIVERSITY OF COPENHAGEN
COPENHAGEN BUSINESS SCHOOL,COPENHAGEN BUSINESS SCHOOL
COPENHAGEN SCHOOL OF BUSINESS,COPENHAGEN BUSINESS SCHOOL
COPENHAGEN UNIVERSITY,UNIVERSITY OF COPENHAGEN
COPPEAD,FEDERAL UNIVERSITY OF RIO DE JANEIRO
COPPEAD GRADUATE BUSINESS SCHOOL FEDERAL UNIVERSITY OF RIO DE JANEIRO,FEDERAL UNIVERSITY OF RIO DE JANEIRO
CORAL CAPITAL MANAGEMENT,CORAL CAPITAL MANAGEMENT
CORE,UNIVERSITE CATHOLIQUE DE LOUVAIN
CORNELL,CORNELL UNIVERSITY
CORNELL JOHNSON SCHOOL,CORNELL UNIVERSITY
CORNELL LAW SCHOOL,CORNELL UNIVERSITY
CORNELL LAW SCHOOL CORNELL UNIVERSITY,CORNELL UNIVERSITY
CORNELL UNIVERSITY,CORNELL UNIVERSITY
CORNELL UNIVERSITY (JOHNSON),CORNELL UNIVERSITY
CORNELL UNIVERSITY (THE HOTEL SCHOOL),CORNELL UNIVERSITY
CORNELL UNIVERSITY CLS,CORNELL UNIVERSITY
CORNELL UNIVERSITY ITHACA,CORNELL UNIVERSITY
CORNELL UNIVERSITY JOHNSON GRADUATE SCHOOL OF MANAGEMENT,CORNELL UNIVERSITY
CORNELL UNIVERSITY'S JOHNSON GRADUATE SCHOOL OF MANAGEMENT,CORNELL UNIVERSITY
CORNELL UNIVERSITYS JOHNSON GRADUATE SCHOOL OF MANAGEMENT,CORNELL UNIVERSITY
CORNELL'S JOHNSON SCHOOL,CORNELL UNIVERSITY
CORNERSTONE RESEARCH,CORNERSTONE RESEARCH SAN FRANCISCO
CORNERSTONE RESEARCH BOSTON,CORNERSTONE RESEARCH BOSTON
CORNERSTONE RESEARCH CAMBRIDGE,CORNERSTONE RESEARCH CAMBRIDGE
CORNERSTONE RESEARCH LOS ANGELES,CORNERSTONE RESEARCH LOS ANGELES
CORNERSTONE RESEARCH NEW YORK,CORNERSTONE RESEARCH NEW YORK
CORPORATE FINANCE KPMG LPP (UK),KMPG
CORPORATE FINANCE STUDY GROUP AT RIETI,"RESEARCH INSTITUTE OF ECONOMY, TRADE AND INDUSTRY"
CORPORATE GOVERNANCE CENTER UNIVERSITY OF TENNESSEE,UNIVERSITY OF TENNESSEE
CORPORATION OF LONDON LONDON BUSINESS SCHOOL,LONDON BUSINESS SCHOOL
CORVINUS UNIVERSITY BUDAPEST,CORVINUS UNIVERSITY BUDAPEST
COUNCIL OF ECONOMIC ADVISORS HELLENIC MINISTRY OF ECONOMY AND FINANCE,GOVERNMENT OF GREECE
COUNCIL OF ECONOMIC ADVISORS MINISTRY OF ECONOMY AND FINANCE,GOVERNMENT OF GREECE
COUNTRYWIDE,COUNTRYWIDE BANK
COUNTRYWIDE BANK,COUNTRYWIDE BANK
COURANT INSTITUTE,NEW YORK UNIVERSITY
COURANT INSTITUTE AT NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
COURANT INSTITUTE NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
COURANT INSTITUTE OF MATHEMATICAL SCIENCE,NEW YORK UNIVERSITY
COURANT INSTITUTE OF MATHEMATICAL SCIENCES,NEW YORK UNIVERSITY
COURANT INSTITUTE OF MATHEMATICAL SCIENCES NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
COURANT INSTITUTE OF MATHEMATICS (NEW YORK),NEW YORK UNIVERSITY
COWLES FOUNDATION AT YALE UNIVERSITY,YALE UNIVERSITY
COWLES FOUNDATION FOR RESEARCH IN ECONOMICS YALE UNIVERSITY,YALE UNIVERSITY
COX SCHOOL OF BUSINESS,SOUTHERN METHODIST UNIVERSITY
COX SCHOOL OF BUSINESS SOUTHERN METHODIST UNIVERSITY,SOUTHERN METHODIST UNIVERSITY
COYOCAN MEXICO,COYOCAN
CPB,-
CRA INTERNATIONAL,CHARLES RIVER ASSOCIATES
CRACM JIANGXI UNIVERSITY OF FINANCE AND ECONOMICS,JIANGXI UNIVERSITY OF FINANCE AND ECONOMICS
CRANFIELD SCHOOL OF MANAGEMENT,CRANFIELD UNIVERSITY
CRANFIELD SCHOOL OF MANAGEMENT CRANFIELD UNIVERSITY,CRANFIELD UNIVERSITY
CRANFIELD UNIVERSITY,CRANFIELD UNIVERSITY
CRAWFORD SCHOOL OF ECONOMICS AND GOVERNMENT AUSTRALIAN NATIONAL UNIVERSITY,AUSTRALIAN NATIONAL UNIVERSITY
CRDE,BOSTON COLLEGE
CREA BARCELONA,UNIVERSITY OF BARCELONA
CREA UNIVERSITY OF LUXEMBOURG,UNIVERSITY OF LUXEMBURG
CREATES,AARHUS UNIVERSITY
CREATES (AARHUS UNIVERSITY),AARHUS UNIVERSITY
CREATES SCHOOL OF ECONOMICS AND MANAGEMENT UNIVERSITY OF AARHUS,AARHUS UNIVERSITY
CREATES UNIVERSITY OF AARHUS,AARHUS UNIVERSITY
CREDIT AND COUNTRY RISK CONTROL UBS,UBS
CREDIT AND PAYMENT RISK GROUP FEDERAL RESERVE BANK OF NEW YORK,FEDERAL RESERVE BANK OF NEW YORK
CREDIT DIVISION OESTERREICHISCHE NATIONALBANK,NATIONAL BANK OF AUSTRIA
CREDIT RESEARCH CENTRE THE SCHOOL OF MANAGEMENT WRB UNIVERSITY OF EDINBURGH,UNIVERSITY OF EDINBURGH
CREDIT RISK ANALYSIS DIVISION OFFICE OF THE COMPTROLLER OF CURRENCY,OFFICE OF THE COMPTROLLER OF THE CURRENCY
CREDIT SUISSE,CREDIT SUISSE
CREDIT SUISSE FIRST BOSTON,CREDIT SUISSE
CREDIT SUISSE ZURICH,"CREDIT SUISSE, ZURICH"
CREF,TEACHERS INSURANCE AND ANNUITY ASSOCIATION
CREI,POMPEU FABRA UNIVERSITY
CREI-UNIVERSITAT POMPEU FABRA,POMPEU FABRA UNIVERSITY
CREI-UPF,POMPEU FABRA UNIVERSITY
CREIGHTON UNIVERSITY,CREIGHTON UNIVERSITY
CRENOS UNIVERSITY OF SASSARI,UNIVERSITY OF SASSARI
CREST,CENTER FOR RESEARCH IN ECONOMICS AND STATISTICS
CREST PARIS,CENTER FOR RESEARCH IN ECONOMICS AND STATISTICS
CREST-ENSAE,CENTER FOR RESEARCH IN ECONOMICS AND STATISTICS
CREST-ENSAE MALAKOFF CEDEX,CENTER FOR RESEARCH IN ECONOMICS AND STATISTICS
CREST-INSEE PARIS,CENTER FOR RESEARCH IN ECONOMICS AND STATISTICS
CREST-LEI,CENTER FOR RESEARCH IN ECONOMICS AND STATISTICS
CREST-LSM,CENTER FOR RESEARCH IN ECONOMICS AND STATISTICS
CROATIAN NATIONAL BANK,CROATIAN NATIONAL BANK
CRSP (UNIVERSITY OF CHICAGO),UNIVERSITY OF CHICAGO
CSEF,UNIVERSITY OF SALERNO
CSEF (SALERNO),UNIVERSITY OF SALERNO
CSEF SALERNO,UNIVERSITY OF SALERNO
CSEF UNIVERSITA DI SALERNO,UNIVERSITY OF SALERNO
CSEF-SALERNO,UNIVERSITY OF SALERNO
CSEF-UNIVERSITY OF SALERNO,UNIVERSITY OF SALERNO
CSFE SALERNO,UNIVERSITY OF SALERNO
CT BAUER COLLEGE OF BUSINESS UNIVERSITY OF HOUSTON,UNIVERSITY OF HOUSTON
CULVERHOUSE COLLEGE OF BUSINESS UNIVERSITY OF ALABAMA,UNIVERSITY OF ALABAMA
CULVERHOUSE COLLEGE OF COMMERCE UNIVERSITY OF ALABAMA,UNIVERSITY OF ALABAMA
CUNEF (MADRID),COLEGIO UNIVERSITARIO DE ESTUDIOS FINANCIEROS
CUNY BARUCH,"CUNY, BARUCH COLLEGE"
CUNY BARUCH COLLEGE,"CUNY, BARUCH COLLEGE"
CUNY GRADUATE CENTER,CUNY GRADUATE CENTER
CUNY-BARUCH,"CUNY, BARUCH COLLEGE"
